grasp_center: [-0.08218596 -0.482791    1.30290254]
grasp_center: [-0.01851903 -0.48006505  1.2922417 ]
grasp_center: [-0.02084322 -0.48016457  1.27202181]
grasp_center: [-0.03224331 -0.48065267  1.27890167]
grasp_center: [-0.05749776 -0.48173396  1.26728604]
grasp_center: [-0.01700509 -0.48000023  1.30289723]
grasp_center: [-0.05752969 -0.48173532  1.2858936 ]
grasp_center: [-0.08684636 -0.48299054  1.30714424]
grasp_center: [-0.03743727 -0.48087505  1.3007677 ]
grasp_center: [-0.12655559 -0.48469071  1.27989306]
grasp_center: [-0.06193847 -0.48192409  1.27327237]
grasp_center: [ 0.01418327 -0.47866488  1.27477426]
grasp_center: [-0.07633937 -0.48254067  1.26868122]
grasp_center: [-0.02926958 -0.48052535  1.27122493]
grasp_center: [-0.06167833 -0.48191295  1.27442343]
grasp_center: [-0.07063648 -0.4822965   1.29100337]
grasp_center: [-0.05829192 -0.48176796  1.30943952]
grasp_center: [ 0.01279158 -0.47872447  1.27806306]
grasp_center: [-0.01949022 -0.48010664  1.29442071]
grasp_center: [-0.08580687 -0.48294603  1.27219233]
grasp_center: [-0.0345305  -0.4807506   1.30847992]
grasp_center: [-0.03987288 -0.48097933  1.2847038 ]
grasp_center: [-0.04734522 -0.48129927  1.27034086]
grasp_center: [-0.00218709 -0.47936579  1.27141349]
grasp_center: [-0.03079534 -0.48059067  1.26750524]
grasp_center: [-0.09014577 -0.4831318   1.30452736]
grasp_center: [ 0.03883397 -0.47760945  1.28080423]
grasp_center: [-0.04305384 -0.48111553  1.28380308]
grasp_center: [-0.083118   -0.4828309   1.28844832]
grasp_center: [-0.08846231 -0.48305972  1.26987309]
grasp_center: [-0.00854277 -0.47963791  1.2991478 ]
grasp_center: [-0.07843966 -0.4826306   1.27968803]
grasp_center: [-0.02300775 -0.48025724  1.30514254]
grasp_center: [-0.03637582 -0.48082961  1.27311475]
grasp_center: [-0.00186759 -0.47935211  1.2755629 ]
grasp_center: [-0.08366357 -0.48285426  1.29502654]
grasp_center: [-0.07117837 -0.4823197   1.26775755]
grasp_center: [-0.07997516 -0.48269634  1.27579594]
grasp_center: [-0.09168274 -0.48319761  1.29562727]
grasp_center: [-1.64809826e-04 -4.79279206e-01  1.26814476e+00]
grasp_center: [-0.07003405 -0.4822707   1.29074162]
grasp_center: [ 0.02430233 -0.47823163  1.28253966]
grasp_center: [-0.04250461 -0.48109201  1.26805073]
grasp_center: [ 0.00503688 -0.47905649  1.26770272]
grasp_center: [-0.0734055  -0.48241506  1.28666295]
grasp_center: [-0.04693072 -0.48128152  1.2883228 ]
grasp_center: [-0.01536858 -0.47993017  1.28279915]
grasp_center: [-0.02202708 -0.48021525  1.27281483]
grasp_center: [-0.00974788 -0.47968951  1.28386766]
grasp_center: [-0.00604763 -0.47953108  1.29200791]
